Suburb,Population Density,Population,LGA,Area (km2),,,,,,,,,,,
Kingsbury,2964.71,3460,Darebin (City),1.17,,,,,,,,,,,
Chelsea,2961.14,8347,Kingston (City),2.82,,,,,,,,,,,
Albanvale,2947.4,5641,Brimbank (City),1.91,,,,,,,,,,,
Lalor,2924.79,23219,Whittlesea (City),7.94,,,,,,,,,,,
Heidelberg Heights,2916.63,6758,Banyule (City),2.32,,,,,,,,,,,
Camberwell,2909.61,21965,Boroondara (City),7.55,,,,,,,,,,,
Caroline Springs,2904.02,24488,Melton (City),8.43,,,,,,,,,,,
St Albans,2899.36,38042,Brimbank (City),13.12,,,,,,,,,,,
Preston,2864.58,33790,Darebin (City),11.80,,,,,,,,,,,
Mentone,2863.3,13197,Kingston (City),4.61,,,,,,,,,,,
Maidstone,2858.23,9389,Maribyrnong (City),3.28,,,,,,,,,,,
Highett,2857.85,12016,Bayside (City),4.20,,,,,,,,,,,
Mont Albert,2843.71,4948,Boroondara (City),1.74,,,,,,,,,,,
Brighton East,2823.01,16757,Bayside (City),5.94,,,,,,,,,,,
Edithvale,2811.62,6276,Kingston (City),2.23,,,,,,,,,,,
Malvern East,2811.06,22296,Stonnington (City),7.93,,,,,,,,,,,
Dallas,2808.25,6762,Hume (City),2.41,,,,,,,,,,,
Springvale South,2782.91,12766,Greater Dandenong (City),4.59,,,,,,,,,,,
Brighton,2778.14,23252,Bayside (City),8.37,,,,,,,,,,,
Chadstone,2769.55,9552,Monash (City),3.45,,,,,,,,,,,
Sandringham,2769.33,10926,Bayside (City),3.95,,,,,,,,,,,
Blackburn North,2744.92,7627,Whitehorse (City),2.78,,,,,,,,,,,
Ashwood,2705.7,7154,Monash (City),2.64,,,,,,,,,,,
Flemington,2687.67,15197,Melbourne (City),5.65,,,,,,,,,,,
Fawkner,2685.09,14274,Hume (City),5.32,,,,,,,,,,,
East Melbourne,2674.57,4896,Melbourne (City),1.83,,,,,,,,,,,
South Kingsville,2663.47,2156,Hobsons Bay (City),0.81,,,,,,,,,,,
Reservoir (Vic.),2661.15,51096,Darebin (City),19.20,,,,,,,,,,,
Ashburton,2651.73,7952,Boroondara (City),3.00,,,,,,,,,,,
Gowanbrae,2645.99,2971,Moreland (City),1.12,,,,,,,,,,,
Yarraville,2644.46,15636,Maribyrnong (City),5.91,,,,,,,,,,,
Dandenong,2636.98,30127,Greater Dandenong (City),11.42,,,,,,,,,,,
Watsonia North,2630.34,3799,Banyule (City),1.44,,,,,,,,,,,
Forest Hill,2610.81,10780,Whitehorse (City),4.13,,,,,,,,,,,
Beaumaris,2588.02,13947,Bayside (City),5.39,,,,,,,,,,,
Newport,2580.1,13658,Hobsons Bay (City),5.29,,,,,,,,,,,
Canterbury,2573.8,7800,Boroondara (City),3.03,,,,,,,,,,,
Carrum,2559.49,4239,Kingston (City),1.66,,,,,,,,,,,
Doncaster East,2553.11,30926,Manningham (City),12.11,,,,,,,,,,,
Mont Albert North,2542.98,5609,Whitehorse (City),2.21,,,,,,,,,,,
Rosanna,2518.67,8616,Banyule (City),3.42,,,,,,,,,,,
Aberfeldie,2510.95,3925,Moonee Valley (City),1.56,,,,,,,,,,,
Williamstown,2504.3,14407,Hobsons Bay (City),5.75,,,,,,,,,,,
Clayton,2475.13,18988,Monash (City),7.67,,,,,,,,,,,
Burwood,2469.01,15147,Monash (City),6.13,,,,,,,,,,,
Strathmore,2438.17,8980,Moonee Valley (City),3.68,,,,,,,,,,,
Mitcham,2436.7,16795,Whitehorse (City),6.89,,,,,,,,,,,
Box Hill South,2416.62,8491,Whitehorse (City),3.51,,,,,,,,,,,
Glenroy,2411.64,23792,Moreland (City),9.87,,,,,,,,,,,
Burwood East,2409.81,10675,Whitehorse (City),4.43,,,,,,,,,,,
Glen Waverley,2394.71,42642,Monash (City),17.81,,,,,,,,,,,
Delahey,2378.49,8077,Brimbank (City),3.40,,,,,,,,,,,
Dandenong North,2371.5,22550,Greater Dandenong (City),9.51,,,,,,,,,,,
Doncaster,2366.78,11219,Manningham (City),4.74,,,,,,,,,,,
Blackburn,2363.11,14478,Whitehorse (City),6.13,,,,,,,,,,,
Briar Hill,2354,3220,Banyule (City),1.37,,,,,,,,,,,
Kew,2346.69,24499,Boroondara (City),10.44,,,,,,,,,,,
Nunawading,2338.26,12413,Manningham (City),5.31,,,,,,,,,,,
Montmorency,2338.2,9250,Banyule (City),3.96,,,,,,,,,,,
Huntingdale,2333.33,1949,Monash (City),0.84,,,,,,,,,,,
Deepdene,2325.71,2101,Boroondara (City),0.90,,,,,,,,,,,
Doveton,2297.01,9603,Casey (City),4.18,,,,,,,,,,,
Bonbeach,2293.07,6855,Kingston (City),2.99,,,,,,,,,,,
Aspendale,2291.19,7285,Kingston (City),3.18,,,,,,,,,,,
Narre Warren South,2290.99,30909,Casey (City),13.49,,,,,,,,,,,
Templestowe Lower,2285.4,14098,Manningham (City),6.17,,,,,,,,,,,
Mill Park,2273.84,28712,Whittlesea (City),12.63,,,,,,,,,,,
Oakleigh,2270.06,8442,Monash (City),3.72,,,,,,,,,,,
Watsonia,2265.97,5352,Banyule (City),2.36,,,,,,,,,,,
Vermont,2265.08,10993,Maroondah (City),4.85,,,,,,,,,,,
Balwyn North,2244.14,21302,Boroondara (City),9.49,,,,,,,,,,,
Maribyrnong,2223.92,12573,Maribyrnong (City),5.65,,,,,,,,,,,
Mount Waverley,2213.43,35340,Monash (City),15.97,,,,,,,,,,,
Ivanhoe,2196.93,13374,Banyule (City),6.09,,,,,,,,,,,
Ringwood East,2194.78,10764,Maroondah (City),4.90,,,,,,,,,,,
Cairnlea,2191.78,10038,Brimbank (City),4.58,,,,,,,,,,,
Albert Park,2189.15,6044,Port Phillip (City),2.76,,,,,,,,,,,
Heathmont,2171.22,9933,Maroondah (City),4.57,,,,,,,,,,,
Hoppers Crossing,2159.05,37216,Wyndham (City),17.24,,,,,,,,,,,
Gladstone Park,2157.87,8213,Hume (City),3.81,,,,,,,,,,,
Avondale Heights,2150.67,12388,Moonee Valley (City),5.76,,,,,,,,,,,
Macleod,2137.17,9892,Banyule (City),4.63,,,,,,,,,,,
Croydon Hills,2136.07,4839,Maroondah (City),2.27,,,,,,,,,,,
Clarinda,2131.95,7441,Kingston (City),3.49,,,,,,,,,,,
Braybrook,2126.01,9682,Maribyrnong (City),4.55,,,,,,,,,,,
Heidelberg,2121.68,7360,Banyule (City),3.47,,,,,,,,,,,
Deer Park,2113.57,18145,Brimbank (City),8.59,,,,,,,,,,,
Cheltenham,2107.7,13947,Bayside (City),6.62,,,,,,,,,,,
Lynbrook,2093.12,9121,Casey (City),4.36,,,,,,,,,,,
Hillside,2078.73,17331,Brimbank (City),8.34,,,,,,,,,,,
Taylors Lakes,2075.84,15174,Brimbank (City),7.31,,,,,,,,,,,
Sunshine,2064.24,9445,Brimbank (City),4.58,,,,,,,,,,,
Airport West,2058.23,8173,Moonee Valley (City),3.97,,,,,,,,,,,
Keilor Lodge,2037.21,1668,Brimbank (City),0.82,,,,,,,,,,,
Seaholme,2035.9,2067,Hobsons Bay (City),1.02,,,,,,,,,,,
Greensborough,2030.52,21070,Banyule (City),10.38,,,,,,,,,,,
Aspendale Gardens,2015.43,6427,Kingston (City),3.19,,,,,,,,,,,
Sunshine West,1995.49,18552,Brimbank (City),9.30,,,,,,,,,,,
Keilor Downs,1992.62,9857,Brimbank (City),4.95,,,,,,,,,,,
Noble Park North,1991.47,7436,Greater Dandenong (City),3.73,,,,,,,,,,,
Cranbourne North,1964.06,24683,Casey (City),12.57,,,,,,,,,,,
Croydon North,1961.57,8092,Maroondah (City),4.13,,,,,,,,,,,
Springvale,1958.69,22174,Greater Dandenong (City),11.32,,,,,,,,,,,
Boronia,1957.23,23607,Knox (City),12.06,,,,,,,,,,,
Jacana,1934.55,2187,Hume (City),1.13,,,,,,,,,,,
Black Rock,1933.75,6389,Bayside (City),3.30,,,,,,,,,,,
Bellfield,1925.89,1996,Banyule (City),1.04,,,,,,,,,,,
Notting Hill,1918.24,2895,Monash (City),1.51,,,,,,,,,,,
Hampton Park,1913.51,26082,Casey (City),13.63,,,,,,,,,,,
Croydon,1911.06,28608,Maroondah (City),14.97,,,,,,,,,,,
Albion,1905.36,4334,Brimbank (City),2.27,,,,,,,,,,,
Wheelers Hill,1892.23,20652,Monash (City),10.91,,,,,,,,,,,
Vermont South,1888.42,11954,Whitehorse (City),6.33,,,,,,,,,,,
Ferntree Gully,1887.58,27398,Knox (City),14.51,,,,,,,,,,,
Ringwood North,1880.28,9964,Manningham (City),5.30,,,,,,,,,,,
Burnside,1861.68,5800,Melton (City),3.12,,,,,,,,,,,
Fairfield,1853.59,6535,Darebin (City),3.53,,,,,,,,,,,
Mordialloc,1852.96,8886,Kingston (City),4.80,,,,,,,,,,,
Narre Warren,1849.84,27689,Casey (City),14.97,,,,,,,,,,,
Hadfield,1843.58,6269,Moreland (City),3.40,,,,,,,,,,,
Parkville,1829.83,7074,Melbourne (City),3.87,,,,,,,,,,,
Frankston,1825.02,37331,Frankston (City),20.46,,,,,,,,,,,
Altona Meadows,1817.84,18479,Hobsons Bay (City),10.17,,,,,,,,,,,
Ivanhoe East,1817.53,3762,Banyule (City),2.07,,,,,,,,,,,
Mulgrave,1806.88,19889,Monash (City),11.01,,,,,,,,,,,
Alphington,1803.34,5702,Darebin (City),3.16,,,,,,,,,,,
St Helena,1783.4,2890,Banyule (City),1.62,,,,,,,,,,,
Patterson Lakes,1771.84,7793,Kingston (City),4.40,,,,,,,,,,,
Croydon South,1763.89,4759,Maroondah (City),2.70,,,,,,,,,,,
Mooroolbark,1757.08,23059,Yarra Ranges (Shire),13.12,,,,,,,,,,,
Eaglemont,1754.87,3960,Banyule (City),2.26,,,,,,,,,,,
Eumemmerring,1739.29,2285,Casey (City),1.31,,,,,,,,,,,
Williams Landing,1733.89,9448,Wyndham (City),5.45,,,,,,,,,,,
Ringwood,1726.21,19144,Maroondah (City),11.09,,,,,,,,,,,
Heidelberg West,1725.8,5252,Banyule (City),3.04,,,,,,,,,,,
Eltham North,1693.63,6830,Banyule (City),4.03,,,,,,,,,,,
Port Melbourne,1690.18,17633,Melbourne (City),10.43,,,,,,,,,,,
Wantirna,1672.88,14237,Knox (City),8.51,,,,,,,,,,,
Chelsea Heights,1669.27,5393,Kingston (City),3.23,,,,,,,,,,,
Bulleen,1669.17,11219,Manningham (City),6.72,,,,,,,,,,,
Bundoora,1662.88,28068,Banyule (City),16.88,,,,,,,,,,,
Kew East,1632.23,6620,Boroondara (City),4.06,,,,,,,,,,,
Keilor East,1630.42,15078,Brimbank (City),9.25,,,,,,,,,,,
Warranwood,1603.94,4820,Maroondah (City),3.01,,,,,,,,,,,
Clayton South,1592.59,13381,Kingston (City),8.40,,,,,,,,,,,
Coburg North,1588.84,8327,Moreland (City),5.24,,,,,,,,,,,
Sandhurst,1569.31,5211,Frankston (City),3.32,,,,,,,,,,,
Endeavour Hills,1568.47,24455,Casey (City),15.59,,,,,,,,,,,
Rowville,1532.71,7645,Knox (City),4.99,,,,,,,,,,,
Viewbank,1522.88,7030,Banyule (City),4.62,,,,,,,,,,,
Broadmeadows,1503.58,12524,Hume (City),8.33,,,,,,,,,,,
Bayswater,1483.47,12262,Knox (City),8.27,,,,,,,,,,,
Sunshine North,1458.13,12047,Brimbank (City),8.26,,,,,,,,,,,
Ardeer,1456.12,3170,Brimbank (City),2.18,,,,,,,,,,,
Strathmore Heights,1452.97,1047,Moonee Valley (City),0.72,,,,,,,,,,,
Waterways,1451.92,2422,Kingston (City),1.67,,,,,,,,,,,
Berwick,1438.26,50298,Casey (City),34.97,,,,,,,,,,,
Craigieburn,1420.39,65178,Hume (City),45.89,,,,,,,,,,,
Yallambie,1403.68,4161,Banyule (City),2.96,,,,,,,,,,,
Essendon West,1402.53,1559,Moonee Valley (City),1.11,,,,,,,,,,,
Oakleigh South,1392.21,9851,Kingston (City),7.08,,,,,,,,,,,
Thomastown,1391.96,20234,Whittlesea (City),14.54,,,,,,,,,,,
Wantirna South,1376.5,20754,Knox (City),15.08,,,,,,,,,,,
Knoxfield,1365.42,7645,Knox (City),5.60,,,,,,,,,,,
Bayswater North,1337.34,9014,Maroondah (City),6.74,,,,,,,,,,,
Seaford,1327.98,17215,Frankston (City),12.96,,,,,,,,,,,
Cranbourne West,1317.47,19969,Casey (City),15.16,,,,,,,,,,,
Hallam,1315.08,11355,Casey (City),8.63,,,,,,,,,,,
Laverton,1307.18,4760,Hobsons Bay (City),3.64,,,,,,,,,,,
Moorabbin,1286.28,6287,Kingston (City),4.89,,,,,,,,,,,
Dingley Village,1264.71,10495,Kingston (City),8.30,,,,,,,,,,,
Caulfield East,1258.14,1293,Glen Eira (City),1.03,,,,,,,,,,,
Frankston South,1249.93,18801,Frankston (City),15.04,,,,,,,,,,,
Kealba,1240.87,3226,Brimbank (City),2.60,,,,,,,,,,,
Cranbourne,1216.93,21281,Casey (City),17.49,,,,,,,,,,,
Keysborough,1187.48,30018,Greater Dandenong (City),25.28,,,,,,,,,,,
Kilsyth,1167.31,11699,Maroondah (City),10.02,,,,,,,,,,,
Westmeadows,1166.57,6502,Hume (City),5.57,,,,,,,,,,,
Cranbourne East,1164.27,11177,Casey (City),9.60,,,,,,,,,,,
Tecoma,1147.11,2064,Yarra Ranges (Shire),1.80,,,,,,,,,,,
Mornington,1137.3,25759,Mornington Peninsula (Shire),22.65,,,,,,,,,,,
Frankston North,1125.83,5711,Frankston (City),5.07,,,,,,,,,,,
South Morang,1121.47,24989,Whittlesea (City),22.28,,,,,,,,,,,
Point Cook,1109.73,66781,Wyndham (City),60.18,,,,,,,,,,,
Eltham,1104.12,18847,Banyule (City),17.07,,,,,,,,,,,
Upwey,1069.97,6818,Yarra Ranges (Shire),6.37,,,,,,,,,,,
Donvale,1056.11,12644,Manningham (City),11.97,,,,,,,,,,,
Templestowe,1031.02,16966,Manningham (City),16.46,,,,,,,,,,,
Carrum Downs,1019.84,21976,Frankston (City),21.55,,,,,,,,,,,
Upper Ferntree Gully,1019.09,3417,Knox (City),3.35,,,,,,,,,,,
Coolaroo,1017.54,3193,Hume (City),3.14,,,,,,,,,,,
Kurunjang,971.63,10711,Melton (City),11.02,,,,,,,,,,,
Belgrave,963.7,3894,Yarra Ranges (Shire),4.04,,,,,,,,,,,
Werribee,940.77,50027,Wyndham (City),53.18,,,,,,,,,,,
Rosebud,939.68,14381,Mornington Peninsula (Shire),15.30,,,,,,,,,,,
Epping,918.38,33489,Whittlesea (City),36.47,,,,,,,,,,,
Tarneit,905.02,56370,Wyndham (City),62.29,,,,,,,,,,,
Rosebud West,902.27,5246,Mornington Peninsula (Shire),5.81,,,,,,,,,,,
Kilsyth South,891.14,2862,Maroondah (City),3.21,,,,,,,,,,,
Williamstown North,887.47,1622,Hobsons Bay (City),1.83,,,,,,,,,,,
Tullamarine,881.84,6733,Brimbank (City),7.64,,,,,,,,,,,
Altona North,871.49,12962,Hobsons Bay (City),14.87,,,,,,,,,,,
Junction Village,856.78,1051,Casey (City),1.23,,,,,,,,,,,
Brookfield,839.19,10782,Melton (City),12.85,,,,,,,,,,,
West Melbourne,837.89,8025,Melbourne (City),9.58,,,,,,,,,,,
Spotswood,823.27,2820,Hobsons Bay (City),3.43,,,,,,,,,,,
Tootgarook,822.53,3178,Mornington Peninsula (Shire),3.86,,,,,,,,,,,
Keilor Park,811.64,2684,Brimbank (City),3.31,,,,,,,,,,,
Safety Beach,810.66,6328,Mornington Peninsula (Shire),7.81,,,,,,,,,,,
Langwarrin,783.08,23588,Frankston (City),30.12,,,,,,,,,,,
Mount Eliza,770.77,18734,Mornington Peninsula (Shire),24.31,,,,,,,,,,,
The Basin,767.47,4497,Knox (City),5.86,,,,,,,,,,,
Lyndhurst,722.11,8926,Casey (City),12.36,,,,,,,,,,,
Scoresby,692.98,6066,Knox (City),8.75,,,,,,,,,,,
Mernda,690.84,23369,Whittlesea (City),33.83,,,,,,,,,,,
Attwood,675.83,3309,Hume (City),4.90,,,,,,,,,,,
Melton West,671.54,12463,Melton (City),18.56,,,,,,,,,,,
Doreen,660.69,27122,Nillumbik (Shire),41.05,,,,,,,,,,,
McCrae,658.04,3311,Mornington Peninsula (Shire),5.03,,,,,,,,,,,
Diamond Creek,657.83,12503,Nillumbik (Shire),19.01,,,,,,,,,,,
Altona,643.01,11490,Hobsons Bay (City),17.87,,,,,,,,,,,
Botanic Ridge,635.89,6739,Casey (City),10.60,,,,,,,,,,,
Derrimut,634.61,8651,Brimbank (City),13.63,,,,,,,,,,,
Beaconsfield,620.92,7267,Cardinia (Shire),11.70,,,,,,,,,,,
Mount Martha,613.99,19846,Mornington Peninsula (Shire),32.32,,,,,,,,,,,
Montrose,612.96,6900,Yarra Ranges (Shire),11.26,,,,,,,,,,,
Bacchus Marsh,583.98,7808,Moorabool (Shire),13.37,,,,,,,,,,,
Belgrave Heights,577.25,1398,Yarra Ranges (Shire),2.42,,,,,,,,,,,
Mount Evelyn,571.08,9799,Yarra Ranges (Shire),17.16,,,,,,,,,,,
Lower Plenty,570.36,3962,Banyule (City),6.95,,,,,,,,,,,
Lilydale,566.63,17348,Yarra Ranges (Shire),30.62,,,,,,,,,,,
Wyndham Vale,552.79,12675,Wyndham (City),22.93,,,,,,,,,,,
Keilor,546.14,5906,Brimbank (City),10.81,,,,,,,,,,,
Pakenham,543.48,54118,Cardinia (Shire),99.58,,,,,,,,,,,
Greenvale,506.04,21274,Hume (City),42.04,,,,,,,,,,,
Skye,486.48,8088,Frankston (City),16.63,,,,,,,,,,,
Crib Point,484.99,3343,Mornington Peninsula (Shire),6.89,,,,,,,,,,,
Rye,472.17,9438,Mornington Peninsula (Shire),19.99,,,,,,,,,,,
Chirnside Park,444.64,11779,Yarra Ranges (Shire),26.49,,,,,,,,,,,
Truganina,442.16,36305,Melton (City),82.11,,,,,,,,,,,
Campbellfield,412.84,4977,Hume (City),12.06,,,,,,,,,,,
Heatherton,408.46,2826,Kingston (City),6.92,,,,,,,,,,,
Park Orchards,403.38,3835,Manningham (City),9.51,,,,,,,,,,,
Melton,396.06,7953,Melton (City),20.08,,,,,,,,,,,
Melton South,377.72,3601,Melton (City),9.53,,,,,,,,,,,
Hastings,370.92,10369,Mornington Peninsula (Shire),27.95,,,,,,,,,,,
Blairgowrie,367.96,2786,Mornington Peninsula (Shire),7.57,,,,,,,,,,,
Narre Warren North,348.47,8033,Casey (City),23.05,,,,,,,,,,,
Brooklyn,339,1979,Brimbank (City),5.84,,,,,,,,,,,
North Warrandyte,337.21,3027,Nillumbik (Shire),8.98,,,,,,,,,,,
Ferny Creek,336.21,1524,Yarra Ranges (Shire),4.53,,,,,,,,,,,
Warrandyte,317.25,5541,Manningham (City),17.47,,,,,,,,,,,
Darley,310.71,9190,Moorabool (Shire),29.58,,,,,,,,,,,
Somerville,293.29,11767,Mornington Peninsula (Shire),40.12,,,,,,,,,,,
Clyde North,277.57,31681,Casey (City),114.14,,,,,,,,,,,
Research,275.65,2695,Nillumbik (Shire),9.78,,,,,,,,,,,
Sunbury,272.9,38851,Hume (City),142.36,,,,,,,,,,,
The Patch,267.86,1046,Yarra Ranges (Shire),3.91,,,,,,,,,,,
Selby,251.91,1626,Yarra Ranges (Shire),6.45,,,,,,,,,,,
Officer,250.41,18503,Cardinia (Shire),73.89,,,,,,,,,,,
Hurstbridge,232.45,3554,Nillumbik (Shire),15.29,,,,,,,,,,,
Sorrento,226.97,2013,Mornington Peninsula (Shire),8.87,,,,,,,,,,,
Wattle Glen,218.16,1911,Nillumbik (Shire),8.76,,,,,,,,,,,
Baxter,218.05,2166,Mornington Peninsula (Shire),9.93,,,,,,,,,,,
Plenty,215.4,2575,Nillumbik (Shire),11.95,,,,,,,,,,,
Bittern,215.21,4276,Mornington Peninsula (Shire),19.87,,,,,,,,,,,
Lysterfield,210.96,6681,Knox (City),31.67,,,,,,,,,,,
Blind Bight,207.22,1290,Casey (City),6.23,,,,,,,,,,,
Dromana,191.55,6626,Mornington Peninsula (Shire),34.59,,,,,,,,,,,
Wandin North,183.53,3132,Yarra Ranges (Shire),17.07,,,,,,,,,,,
Monbulk,179.88,3651,Yarra Ranges (Shire),20.30,,,,,,,,,,,
Millgrove,176.53,1666,Yarra Ranges (Shire),9.44,,,,,,,,,,,
Badger Creek,174.15,1610,Yarra Ranges (Shire),9.24,,,,,,,,,,,
Wollert,168.11,24407,Whittlesea (City),145.18,,,,,,,,,,,
Wonga Park,163.5,3843,Manningham (City),23.50,,,,,,,,,,,
Wallan,159.09,15004,Mitchell (Shire),94.31,,,,,,,,,,,
Mount Dandenong,157.64,1271,Yarra Ranges (Shire),8.06,,,,,,,,,,,
Cockatoo,150.83,4408,Cardinia (Shire),29.22,,,,,,,,,,,
Kalorama,146.35,1277,Yarra Ranges (Shire),8.73,,,,,,,,,,,
Yarra Junction,145.51,2875,Yarra Ranges (Shire),19.76,,,,,,,,,,,
Langwarrin South,142.22,1346,Frankston (City),9.46,,,,,,,,,,,
Tyabb,141.34,3449,Mornington Peninsula (Shire),24.40,,,,,,,,,,,
Maddingley,135.08,5491,Moorabool (Shire),40.65,,,,,,,,,,,
Belgrave South,129.55,1670,Yarra Ranges (Shire),12.89,,,,,,,,,,,
Kallista,119.22,1418,Yarra Ranges (Shire),11.89,,,,,,,,,,,
Emerald,114.59,5890,Cardinia (Shire),51.40,,,,,,,,,,,
Pearcedale,113.46,3867,Casey (City),34.08,,,,,,,,,,,
Somers,111.8,1857,Mornington Peninsula (Shire),16.61,,,,,,,,,,,
Seville,111.24,2559,Yarra Ranges (Shire),23.00,,,,,,,,,,,
